x,y,layer1,layer2,voltage1,voltage2,current
952.995,1484.01,L2_-_GND,L3_-_GND,35.8759,35.8746,0.859982
952.995,1484.01,L3_-_GND,L4_-_SECONDARY,35.8746,35.8743,0.859982
952.995,1531.26,L1_-_PRIMARY,L2_-_GND,35.875,35.8749,0.432397
952.995,1531.26,L2_-_GND,L3_-_GND,35.8749,35.8742,0.432397
952.995,1531.26,L3_-_GND,L4_-_SECONDARY,35.8742,35.8741,0.432397
952.995,1578.5,L1_-_PRIMARY,L2_-_GND,35.8744,35.8743,0.438521
952.995,1578.5,L2_-_GND,L3_-_GND,35.8743,35.8736,0.438521
952.995,1578.5,L3_-_GND,L4_-_SECONDARY,35.8736,35.8735,0.438521
1003.98,2334.6,L1_-_PRIMARY,L2_-_GND,35.8678,35.868,-2.17129
1003.98,2334.6,L2_-_GND,L3_-_GND,35.868,35.8685,-2.17129
1003.98,2334.6,L3_-_GND,L4_-_SECONDARY,35.8685,35.8686,-2.17129
1003.98,2535.39,L1_-_PRIMARY,L2_-_GND,35.8673,35.8674,-2.31575
1003.98,2535.39,L2_-_GND,L3_-_GND,35.8674,35.868,-2.31575
1003.98,2535.39,L3_-_GND,L4_-_SECONDARY,35.868,35.8681,-2.31575
1023.86,1436.77,L1_-_PRIMARY,L2_-_GND,35.877,35.8767,1.22999
1023.86,1436.77,L2_-_GND,L3_-_GND,35.8767,35.8748,1.22999
1023.86,1436.77,L3_-_GND,L4_-_SECONDARY,35.8748,35.8745,1.22999
1023.86,1484.01,L1_-_PRIMARY,L2_-_GND,35.8764,35.8762,1.01713
1023.86,1484.01,L2_-_GND,L3_-_GND,35.8762,35.8746,1.01713
1023.86,1484.01,L3_-_GND,L4_-_SECONDARY,35.8746,35.8743,1.01713
1023.86,1531.26,L1_-_PRIMARY,L2_-_GND,35.8751,35.8749,0.479987
1023.86,1531.26,L2_-_GND,L3_-_GND,35.8749,35.8742,0.479987
1023.86,1531.26,L3_-_GND,L4_-_SECONDARY,35.8742,35.8741,0.479987
1023.86,1578.5,L1_-_PRIMARY,L2_-_GND,35.8744,35.8743,0.453008
1023.86,1578.5,L2_-_GND,L3_-_GND,35.8743,35.8736,0.453008
1023.86,1578.5,L3_-_GND,L4_-_SECONDARY,35.8736,35.8735,0.453008
1023.86,1814.72,L1_-_PRIMARY,L2_-_GND,35.8718,35.8718,0.0398895
1023.86,1814.72,L2_-_GND,L3_-_GND,35.8718,35.8717,0.0398895
1023.86,1814.72,L3_-_GND,L4_-_SECONDARY,35.8717,35.8717,0.0398895
1023.86,1861.97,L1_-_PRIMARY,L2_-_GND,35.8714,35.8714,-0.00775464
1023.86,1861.97,L2_-_GND,L3_-_GND,35.8714,35.8715,-0.00775464
1023.86,1861.97,L3_-_GND,L4_-_SECONDARY,35.8715,35.8715,-0.00775464
1027.8,1385.59,L1_-_PRIMARY,L2_-_GND,35.8781,35.8776,1.75195
1027.8,1385.59,L2_-_GND,L3_-_GND,35.8776,35.8749,1.75195
1027.8,1385.59,L3_-_GND,L4_-_SECONDARY,35.8749,35.8745,1.75195
1094.73,1531.26,L1_-_PRIMARY,L2_-_GND,35.8756,35.8754,0.853906
1094.73,1531.26,L2_-_GND,L3_-_GND,35.8754,35.8741,0.853906
1094.73,1531.26,L3_-_GND,L4_-_SECONDARY,35.8741,35.8739,0.853906
1094.73,1578.5,L1_-_PRIMARY,L2_-_GND,35.8743,35.8742,0.445456
1094.73,1578.5,L2_-_GND,L3_-_GND,35.8742,35.8735,0.445456
1094.73,1578.5,L3_-_GND,L4_-_SECONDARY,35.8735,35.8734,0.445456
1094.73,1814.72,L1_-_PRIMARY,L2_-_GND,35.8718,35.8718,0.0295675
1094.73,1814.72,L2_-_GND,L3_-_GND,35.8718,35.8717,0.0295675
1094.73,1814.72,L3_-_GND,L4_-_SECONDARY,35.8717,35.8717,0.0295675
1094.73,1861.97,L1_-_PRIMARY,L2_-_GND,35.8715,35.8715,-0.00887807
1094.73,1861.97,L2_-_GND,L3_-_GND,35.8715,35.8715,-0.00887807
1094.73,1861.97,L3_-_GND,L4_-_SECONDARY,35.8715,35.8715,-0.00887807
1165.59,1578.5,L1_-_PRIMARY,L2_-_GND,35.8737,35.8736,0.215493
1165.59,1578.5,L2_-_GND,L3_-_GND,35.8736,35.8733,0.215493
1165.59,1578.5,L3_-_GND,L4_-_SECONDARY,35.8733,35.8732,0.215493
1165.59,1625.75,L1_-_PRIMARY,L2_-_GND,35.8734,35.8733,0.167312
1165.59,1625.75,L2_-_GND,L3_-_GND,35.8733,35.8731,0.167312
1165.59,1625.75,L3_-_GND,L4_-_SECONDARY,35.8731,35.873,0.167312
1165.59,1672.99,L1_-_PRIMARY,L2_-_GND,35.873,35.873,0.128129
1165.59,1672.99,L2_-_GND,L3_-_GND,35.873,35.8728,0.128129
1165.59,1672.99,L3_-_GND,L4_-_SECONDARY,35.8728,35.8728,0.128129
1165.59,1720.23,L1_-_PRIMARY,L2_-_GND,35.8727,35.8727,0.0963181
1165.59,1720.23,L2_-_GND,L3_-_GND,35.8727,35.8725,0.0963181
1165.59,1720.23,L3_-_GND,L4_-_SECONDARY,35.8725,35.8725,0.0963181
1165.59,1767.48,L1_-_PRIMARY,L2_-_GND,35.8721,35.8721,0.039215
1165.59,1767.48,L2_-_GND,L3_-_GND,35.8721,35.872,0.039215
1165.59,1767.48,L3_-_GND,L4_-_SECONDARY,35.872,35.872,0.039215
1165.59,1814.72,L1_-_PRIMARY,L2_-_GND,35.8717,35.8717,0.0106148
1165.59,1814.72,L2_-_GND,L3_-_GND,35.8717,35.8717,0.0106148
1165.59,1814.72,L3_-_GND,L4_-_SECONDARY,35.8717,35.8717,0.0106148
1165.59,1861.97,L1_-_PRIMARY,L2_-_GND,35.8714,35.8714,-0.0177548
1165.59,1861.97,L2_-_GND,L3_-_GND,35.8714,35.8715,-0.0177548
1165.59,1861.97,L3_-_GND,L4_-_SECONDARY,35.8715,35.8715,-0.0177548
1204.77,2334.6,L1_-_PRIMARY,L2_-_GND,35.8679,35.868,-2.15848
1204.77,2334.6,L2_-_GND,L3_-_GND,35.868,35.8685,-2.15848
1204.77,2334.6,L3_-_GND,L4_-_SECONDARY,35.8685,35.8686,-2.15848
1204.77,2535.39,L1_-_PRIMARY,L2_-_GND,35.8673,35.8674,-2.31243
1204.77,2535.39,L2_-_GND,L3_-_GND,35.8674,35.868,-2.31243
1204.77,2535.39,L3_-_GND,L4_-_SECONDARY,35.868,35.8681,-2.31243
1226.62,1578.5,L1_-_PRIMARY,L2_-_GND,35.8732,35.8732,0.0521928
1226.62,1578.5,L2_-_GND,L3_-_GND,35.8732,35.8731,0.0521928
1226.62,1578.5,L3_-_GND,L4_-_SECONDARY,35.8731,35.8731,0.0521928
1226.62,1625.75,L1_-_PRIMARY,L2_-_GND,35.873,35.873,0.0570999
1226.62,1625.75,L2_-_GND,L3_-_GND,35.873,35.8729,0.0570999
1226.62,1625.75,L3_-_GND,L4_-_SECONDARY,35.8729,35.8729,0.0570999
1226.62,1672.99,L1_-_PRIMARY,L2_-_GND,35.8728,35.8728,0.0520707
1226.62,1672.99,L2_-_GND,L3_-_GND,35.8728,35.8727,0.0520707
1226.62,1672.99,L3_-_GND,L4_-_SECONDARY,35.8727,35.8727,0.0520707
1226.62,1720.23,L1_-_PRIMARY,L2_-_GND,35.8726,35.8725,0.0429758
1226.62,1720.23,L2_-_GND,L3_-_GND,35.8725,35.8725,0.0429758
1226.62,1720.23,L3_-_GND,L4_-_SECONDARY,35.8725,35.8725,0.0429758
1226.62,1767.48,L1_-_PRIMARY,L2_-_GND,35.872,35.872,0.0150416
1226.62,1767.48,L2_-_GND,L3_-_GND,35.872,35.872,0.0150416
1226.62,1767.48,L3_-_GND,L4_-_SECONDARY,35.872,35.872,0.0150416
1226.62,1814.72,L1_-_PRIMARY,L2_-_GND,35.8717,35.8717,-0.00377186
1226.62,1814.72,L2_-_GND,L3_-_GND,35.8717,35.8717,-0.00377186
1226.62,1814.72,L3_-_GND,L4_-_SECONDARY,35.8717,35.8717,-0.00377186
