x,y,layer1,layer2,voltage1,voltage2,current
1372.38,474.543,L3_-_GND,L4_-_SECONDARY,0.00915451,0.00915451,-6.4264e-15
1372.38,527.299,L1_-_PRIMARY,L2_-_GND,0.00913772,0.00914637,-0.0320342
1372.38,527.299,L2_-_GND,L3_-_GND,0.00914637,0.00915081,-0.00289765
1372.38,527.299,L3_-_GND,L4_-_SECONDARY,0.00915081,0.00915081,-1.28528e-14
1372.38,580.055,L1_-_PRIMARY,L2_-_GND,0.00913449,0.0091427,-0.0303986
1372.38,580.055,L2_-_GND,L3_-_GND,0.0091427,0.0091465,-0.00248373
1372.38,580.055,L3_-_GND,L4_-_SECONDARY,0.0091465,0.0091465,-6.4264e-15
1411.66,1795.04,L1_-_PRIMARY,L2_-_GND,0.00982646,0.00980463,0.0809071
1411.66,1795.04,L2_-_GND,L3_-_GND,0.00980463,0.00975442,0.0327748
1411.66,1795.04,L3_-_GND,L4_-_SECONDARY,0.00975442,0.00975442,-6.4264e-15
1411.66,1901.34,L1_-_PRIMARY,L2_-_GND,0.00980532,0.0097699,0.131209
1411.66,1901.34,L2_-_GND,L3_-_GND,0.0097699,0.00970184,0.0444322
1411.66,1901.34,L3_-_GND,L4_-_SECONDARY,0.00970184,0.00970184,-6.4264e-15
1460.87,1848.19,L1_-_PRIMARY,L2_-_GND,0.00985448,0.00985699,-0.00928662
1460.87,1848.19,L2_-_GND,L3_-_GND,0.00985699,0.00984152,0.0100997
1460.87,1848.19,L3_-_GND,L4_-_SECONDARY,0.00984152,0.00984152,-6.4264e-15
1460.87,1954.49,L1_-_PRIMARY,L2_-_GND,0.00984902,0.0098533,-0.0158508
1460.87,1954.49,L2_-_GND,L3_-_GND,0.0098533,0.00983276,0.0134088
1460.87,1954.49,L3_-_GND,L4_-_SECONDARY,0.00983276,0.00983276,-6.4264e-15
1510.08,1795.04,L1_-_PRIMARY,L2_-_GND,0.00988787,0.00989169,-0.014141
1510.08,1795.04,L2_-_GND,L3_-_GND,0.00989169,0.00988503,0.0043439
1510.08,1795.04,L3_-_GND,L4_-_SECONDARY,0.00988503,0.00988503,-6.4264e-15
1510.08,1901.34,L1_-_PRIMARY,L2_-_GND,0.00989082,0.00990449,-0.0506438
1510.08,1901.34,L2_-_GND,L3_-_GND,0.00990449,0.00990655,-0.0013437
1510.08,1901.34,L3_-_GND,L4_-_SECONDARY,0.00990655,0.00990655,-6.4264e-15
1559.29,1741.89,L1_-_PRIMARY,L2_-_GND,0.00993839,0.0099307,0.0284737
1559.29,1741.89,L2_-_GND,L3_-_GND,0.0099307,0.00992327,0.00485331
1559.29,1741.89,L3_-_GND,L4_-_SECONDARY,0.00992327,0.00992327,-6.4264e-15
1559.29,1848.19,L1_-_PRIMARY,L2_-_GND,0.00995402,0.00995831,-0.015883
1559.29,1848.19,L2_-_GND,L3_-_GND,0.00995831,0.00996693,-0.00562944
1559.29,1848.19,L3_-_GND,L4_-_SECONDARY,0.00996693,0.00996693,-6.4264e-15
1559.29,1954.49,L1_-_PRIMARY,L2_-_GND,0.00995876,0.00998125,-0.0833196
1559.29,1954.49,L2_-_GND,L3_-_GND,0.00998125,0.0099875,-0.00407797
1559.29,1954.49,L3_-_GND,L4_-_SECONDARY,0.0099875,0.0099875,-6.4264e-15
1608.51,1688.74,L1_-_PRIMARY,L2_-_GND,0.00996145,0.00996144,1.84668e-05
1608.51,1688.74,L2_-_GND,L3_-_GND,0.00996144,0.00995866,0.0018196
1608.51,1688.74,L3_-_GND,L4_-_SECONDARY,0.00995866,0.00995866,-6.4264e-15
1608.51,1795.04,L1_-_PRIMARY,L2_-_GND,0.00997331,0.00998484,-0.0427382
